Total Nacional -  Región_0,comuna_4_5_6_1,número_de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7
Región del Maule,molina,4500,7328577381600578,1110,6863276706601142,3390,4653006749994353
Región del Maule,rauco,3300,1526590600002991,560,5407977555670218,2740,9857928444359697
Región del Maule,romeral,4160,8639090698050674,1060,6147989268051425,3100,2491101429999251
Región del Maule,sagrada_familia,3930,4015248399838931,1050,2337652899838279,2880,1677595500000653
Región del Maule,teno,8630,4101660469013894,1750,2990597749018467,6880,1111062719995427
Región del Maule,vichuquén,1400,2066317117483759,120,153464376748168,1280,5316733500020787
Región del Maule,linares,10900,4942300287135007,750,2886928337141831,10150,2055371949993177
Región del Maule,colbún,4850,4842804097989463,550,2940934477991407,4300,1901869619998056
Región del Maule,longaví,16520,6398588539409552,900,2859689871904538,15620,3538898667505013
Región del Maule,parral,12570,8853221993021821,770,4600026573026199,11800,4253195419995623
Región del Maule,retiro,9320,4330485000186224,880,1924956590181586,8440,2405528410004639
Región del Maule,san_javier,9010,8150004955818801,1100,4954980520474324,7910,3195024435344477
Región del Maule,villa_alegre,3560,872632530000319,550,465911399999621,3010,406721130000698
Región del Maule,yerbas_buenas,6980,1293616067919316,490,4841896239350768,6490,8094264439842395
Región de Ñuble,total_región,121710,8079930097955881,5600,4707088940699155,116110,3372841157256726
Región de Ñuble,chillán,8260,2948059115791276,940,135505109079069,7320,1593008025000586
Región de Ñuble,bulnes,7380,3294548901055875,810,186863460105616,6570,1425914299999715
Región de Ñuble,chillán_viejo,2700,1775397079553634,210,994599079553634,2490,780798
Región de Ñuble,el_carmen,11680,6351656397905234,310,3061236717905234,11370,329041968
Región de Ñuble,pemuco,3780,4658641240712664,210,3161954430712664,3570,149668681
Región de Ñuble,pinto,4420,5432811809994234,150,4070767059994245,4270,1362044749999989
Región de Ñuble,quillón,6360,1445769834982902,290,9864576349832238,6070,4593121999996783
Región de Ñuble,san_ignacio,9670,212427233146502,360,6545153314650204,9310,1469757
Región de Ñuble,yungay,4810,5624413588592396,180,3870615678592397,4630,175379791
Región de Ñuble,quirihue,3040,3266039035564462,110,2129040295559014,2930,1136998740005449
Región de Ñuble,cobquecura,3910,2533939860431685,100,1767950860426484,3810,7659890000052016
Región de Ñuble,coelemu,3480,2196929383290507,110,1522606883282145,3370,6743225000083622
Región de Ñuble,ninhue,4200,2112711457383099,130,1287601757385082,4070,8251096999980176
Región de Ñuble,portezuelo,2480,1414456800890021,150,9801369208900529,2330,4343198799999679
Región de Ñuble,ránquil,3470,117093195917344,90,82000425917344,3380,3509277
Región de Ñuble,treguaco,2080,1298988725447473,70,1023982157896708,2010,2750065675507647
Región de Ñuble,san_carlos,15410,5349988696537411,1020,1682642246538983,14390,3667346449998428
Región de Ñuble,coihueco,9350,9478607829207851,1080,7210561079207882,8270,2268046749999969
Región de Ñuble,ñiquén,9740,2925980607797535,290,1124936097795862,9450,1801044510001673
Región de Ñuble,san_fabián,3260,1143519974118027,200,544813654118027,3060,59870632
Región de Ñuble,san_nicolás,7640,3959956582601823,630,2049458682602364,7010,1910497899999459
Región del Biobío ,total_región,124480,1358582104013841,5150,1075199632996755,119330,2833824710170865
Región del Biobío ,concepción,590,1045315749191074,110,9639189991910736,480,8139675
Región del Biobío ,florida,4650,2684118281274959,180,1933363711274958,4470,75075457
Región del Biobío ,penco,540,402351899949735,10,348345999949735,530,540059
Región del Biobío ,san_pedro_de_la_paz,340,4260319991191122,30,4087329991191123,310,17299
Región del Biobío ,santa_juana,5760,6045155978524872,100,5126723918524872,5660,91843206
Región del Biobío ,tomé,2420,237762193310694,80,214912262310694,2340,22849931
Región del Biobío ,chiguayante/hualqui,4090,3318072016112739,110,2669963916112739,3980,6481081
Región del Biobío ,coronel/lota,1140,2397045950323584,110,2176595000323584,1030,22045095
Región del Biobío ,talcahuano/hualpén,240,462686799997636,70,346353999997636,170,1163328
Región del Biobío ,lebu,2590,4148699699916069,160,3277794999916069,2430,8709047
Región del Biobío ,arauco,5310,7149102538724722,230,5403210998724723,5080,174589154
Región del Biobío ,cañete,9190,6653843199515594,190,5417068647953094,9000,12367745515625
Región del Biobío ,contulmo,1180,314876850128049,90,288581600128049,1090,2629525
Región del Biobío ,curanilahue,1720,8526706160601827,70,7981534000601826,1650,54517216
Región del Biobío ,los_álamos,2820,4181835400126407,100,3470274000126407,2720,7115614000000001
Región del Biobío ,tirúa,4050,2694392599673207,70,2145283999673207,3980,5491086
Región del Biobío ,los_ángeles,22600,1119944487858665,2230,7185591003200045,20370,4013853875386605
Región del Biobío ,antuco,1120,6876259000813075,130,6045845750813074,990,83041325
Región del Biobío ,cabrero,3070,4203498114559223,220,3560528614559223,2850,6429695
Región del Biobío ,laja,3540,216819550015049,70,1469977000150489,3470,6982185
Región del Biobío ,mulchén,6870,1415274043705891,760,1186828935244565,6110,2284451084613262
Región del Biobío ,nacimiento,5640,5857746749293741,140,4719662159293741,5500,113808459
Región del Biobío ,negrete,3810,1096201641166282,310,527324001166633,3500,568877639999649
Región del Biobío ,quilaco,3140,6935635173864299,160,6271024755281779,2980,6646104185825192
Región del Biobío ,quilleco,5480,7623951914455925,310,4694151712891598,5170,2929800201564328
Región del Biobío ,san_rosendo,770,8798250072739156,40,7729972072739156,730,1068278
Región del Biobío ,santa_bárbara,6360,7054167199291984,380,4623873809292195,5980,243029338999979
Región del Biobío ,tucapel,4060,5068292700973303,110,3920232700973302,3950,114806
Región del Biobío ,yumbel,8380,3600216776457339,310,2351661416457338,8070,124855536
Región del Biobío ,alto_biobío,5710,34802866,30,280470,5680,6755866
Región de La Araucanía,total_región,365520,191016797394177,7140,1091053491852373,358380,8191144820893975
Región de La Araucanía,temuco,20140,3104766808595154,250,1111599208594452,19890,1993167600000702
Región de La Araucanía,carahue,21540,9108956587176927,230,4448076527177318,21310,466088005999961
Región de La Araucanía,cunco,13740,7807261811967786,700,3848080851964631,13040,3959180960003156
Región de La Araucanía,curarrehue,6870,286477778,120,3423965,6750,252238128
Región de La Araucanía,freire,19460,5135202760211722,630,2414512000210679,18830,2720690760001043
Región de La Araucanía,galvarino,14920,4141203734075996,180,1143141834075172,14740,2998061900000824
Región de La Araucanía,gorbea,8220,4571721137112362,310,139573313711422,7910,3175987999998142
Región de La Araucanía,lautaro,19160,6210449586348017,580,277104640134808,18580,3439403184999937
Región de La Araucanía,loncoche,13380,6331100750067845,510,3594185137607648,12870,2736915612460196
Región de La Araucanía,melipeuco,3630,3849168750004536,110,2275176000004536,3520,157399275
Región de La Araucanía,nueva_imperial,22980,4001346974722432,210,1317299734722141,22770,2684047240000291
Región de La Araucanía,padre_las_casas,27680,1649909169217262,200,1631895392186685,27480,1486719629998593
Región de La Araucanía,perquenco,6880,2488829199997517,320,8057719999968045,6560,1683057200000713
Región de La Araucanía,pitrufquén,16190,4254009044596132,310,158187049460725,15880,2672138549988882
Región de La Araucanía,pucón,4370,132098421988,250,112758576,4120,19339845988
Región de La Araucanía,saavedra,17230,2197409326674775,60,2383429989332756,17170,19590663277415
Región de La Araucanía,teodoro_schmidt,20340,4460472322226952,140,8481159397381836,20200,3612356382488769
Región de La Araucanía,toltén,11620,6479638732855571,190,4012521072856292,11430,2467117659999279
Región de La Araucanía,vilcún,15590,7574712557642868,670,4329203907643061,14920,3245508649999807
Región de La Araucanía,villarrica,14130,5500911007547352,610,205747932254374,13520,3443431685003611
Región de La Araucanía,cholchol,9970,1935170577046085,80,9301688070460175,9890,1005001770000067
Región de La Araucanía,angol,5770,7677077556436806,300,6073101706438172,5470,1603975849998633
Región de La Araucanía,collipulli,6220,8776020884374889,220,7716786634374889,6000,105923425
Región de La Araucanía,curacautín,2810,1425852512950957,260,1242647657482362,2550,1832048554685946
Región de La Araucanía,ercilla,750,2409739402618212,90,1895733152620372,660,5140062499978398
Región de La Araucanía,lonquimay,10570,189936529,190,115441351,10380,74495178
Región de La Araucanía,los_sauces,6150,6041223896819275,170,3396196846821695,5980,264502704999758
Región de La Araucanía,lumaco,6680,6525234019765578,140,4176434039667001,6540,2348799980098576
Región de La Araucanía,purén,7220,2837763831461342,200,897136428789879,7020,1940627402671463
Región de La Araucanía,renaico,2470,1717734485855035,230,1247432835854508,2240,4703016500005261
Región de La Araucanía,traiguén,7360,630086404397914,510,3266185823975307,6850,3034678220003833
Región de La Araucanía,victoria,8620,860210042646988,600,5561961026469645,8020,3040139400000235
Región de Los Ríos ,total_región,87490,1224008426857959,5520,9559656022915959,81970,2680428245663633
Región de Los Ríos ,valdivia,3530,6779887519284304,430,5458494019283864,3100,132139350000044
Región de Los Ríos ,corral,1670,4379109916578671,50,3965762816578671,1620,4133471
Región de Los Ríos ,lanco,4570,3404075204650178,290,2428263304650178,4280,9758119
Región de Los Ríos ,los_lagos,5380,1059671127037623,860,8487807178746776,4520,2108904091629448
Región de Los Ríos ,máfil,4090,4876619399895327,430,3492445349895327,3660,138417405
Región de Los Ríos ,mariquina,8940,8852573838495156,520,6348547168495156,8420,250402667
Región de Los Ríos ,paillaco,6670,6988548165127712,590,4590391105127522,6080,2398157060000189
Región de Los Ríos ,panguipulli,13220,2493569771832727,630,2165294387832727,12590,328275384
Región de Los Ríos ,la_unión,12270,1627084706327308,850,131746364882646,11420,3096210575008477
Región de Los Ríos ,futrono,5450,9791823966501968,480,7044542016502087,4970,274728194999988
Región de Los Ríos ,lago_ranco,6610,1111615420002271,460,9308367000019894,6150,1807787200002821
Región de Los Ríos ,río_bueno,16830,1440879442326332,1120,9644359903268241,15710,4764434519995074
Región de Los Lagos,total_región,183430,2629360929498168,6370,1993890335015967,177060,635470594482201
Región de Los Lagos,puerto_montt,8170,9982677470000015,210,8089631,7960,1893046470000015
Región de Los Lagos,calbuco,19310,2581779470001484,60,457730000001484,19250,212404947
Región de Los Lagos,cochamó,3310,726514533993387,80,536057611993387,3230,190456922
Región de Los Lagos,fresia,5950,4549235473942053,480,1694533806249521,5470,2854701667692532
Región de Los Lagos,frutillar,4010,482500420000066,640,2050216199999555,3370,2774788000001105
Región de Los Lagos,los_muermos,13480,7369005449997234,460,1190602000000505,13020,6178403449996729
Región de Los Lagos,llanquihue,1970,2949821999985079,450,1416006401311807,1520,1533815598673272
Región de Los Lagos,maullín,9110,3174555099997359,120,218577999998516,8990,2955977099998843
Región de Los Lagos,puerto_varas,2320,2933681896000307,580,2740456400001333,1740,1932254959989742
Región de Los Lagos,castro,8730,1233682539999965,80,81168,8650,1152514539999965
Región de Los Lagos,ancud,11590,5280406169998805,170,1701529,11420,3578877169998805
Región de Los Lagos,chonchi,7770,8687330029970688,150,5789048999970688,7620,289828103
Región de Los Lagos,curaco_de_vélez,3590,3293519653845855,10,158,3580,3291939653845855
Región de Los Lagos,dalcahue,6640,1696095594616645,40,175597,6600,1520498594616645
Región de Los Lagos,puqueldón,4530,43128198,00,00,4530,43128198
Región de Los Lagos,queilén,3630,7298983,20,16881,3610,7130173
Región de Los Lagos,quellón,6290,2037047740002931,130,1686254147502931,6160,3507935925
Región de Los Lagos,quemchi,8290,17570268,50,66648,8240,16903788
Región de Los Lagos,quinchao,7850,72204024,10,11499,7840,72089034
Región de Los Lagos,osorno,6810,6410035387372143,1150,3010812127732862,5660,339922325963928
Región de Los Lagos,puerto_octay,3360,7944131659295809,640,5885182659299795,2720,2058948999996014
Región de Los Lagos,purranque,3450,468595932153156,550,3161278921532897,2900,1524680399998663
Región de Los Lagos,puyehue,6930,1456241691687458,720,1251968351687147,6210,2042733400003113
Región de Los Lagos,río_negro,5280,4457590380984506,530,2456845654107237,4750,2000744726877269
Región de Los Lagos,san_juan_de_la_costa,8060,5107804068817443,70,2940225748817383,7990,216757832000006
Región de Los Lagos,san_pablo,6920,2748257501059477,400,1116638970707406,6520,1631618530352071
Región de Los Lagos,chaitén,2840,7869940170001904,110,7618096300001903,2730,25184387
Región de Los Lagos,futaleufú,1460,658322028,40,4891949,1420,169127128
Región de Los Lagos,hualaihué,3040,115101010000014,60,10679982,2980,8301190000014
Región de Los Lagos,palena,2060,695554025,40,3968313,2020,298722725
Región de Aysén del General Carlos Ibáñez del Campo,total_región,19680,74363429595,840,69445553713,18840,4917875882
Región de Aysén del General Carlos Ibáñez del Campo,coyhaique,7770,4328194289992598,380,2859126509992342,7390,1469067780000257
Región de Aysén del General Carlos Ibáñez del Campo,lago_verde,770,38456562,40,34686289,730,3770273
Región de Aysén del General Carlos Ibáñez del Campo,aysén,2450,1334765973200017,150,1287296730000043,2300,4746924319997434
Región de Aysén del General Carlos Ibáñez del Campo,cisnes/guaitecas,2270,6465471695,60,59840771,2210,481394595
Región de Aysén del General Carlos Ibáñez del Campo,cochrane,1280,1132821485,60,4352442,1220,697577285
Región de Aysén del General Carlos Ibáñez del Campo,tortel/o'higgins,390,18514321873,40,18345590503,350,16873137
Región de Aysén del General Carlos Ibáñez del Campo,chile_chico,2610,361668672,170,30055633,2440,61112342
Región de Aysén del General Carlos Ibáñez del Campo,río_ibáñez,2620,2311261760000723,140,2247435590000723,2480,6382617
Región de Magallanes y de la Antártica Chilena,total_región,5830,115035326638,1660,103829897275,4170,11205429363
Región de Magallanes y de la Antártica Chilena,punta_arenas,1740,4607925580007789,410,3322306200007789,1330,128561938
Región de Magallanes y de la Antártica Chilena,laguna_blanca,320,2755052300021587,180,2006360300021041,140,748692000000546
Región de Magallanes y de la Antártica Chilena,río_verde,350,26311008999921,200,187223039999339,150,75887049999871
Región de Magallanes y de la Antártica Chilena,san_gregorio,260,5973299999983354,190,517038999998261,70,802910000000744
Región de Magallanes y de la Antártica Chilena,cabo_de_hornos,210,176225967,20,175543663,190,682304
Región de Magallanes y de la Antártica Chilena,porvenir,1220,6811964916014435,390,398391910001639,830,2828045815998046
Región de Magallanes y de la Antártica Chilena,primavera,430,3181309599985515,190,151359059998327,240,1667719000002244
Región de Magallanes y de la Antártica Chilena,timaukel,230,623134900000005,110,539812525000034,120,83322374999971
Región de Magallanes y de la Antártica Chilena,natales,1600,6024668411199311,350,5874165779999517,1250,1505026311997941
Región de Magallanes y de la Antártica Chilena,torres_del_paine,280,4974043530002059,140,4266951325,140,707092205002059
